form_name,jotform_field_label,jotform_field_key,dataset_table,dataset_field,update_database,store_in_pdf_only,notes
Case Management Sheet,Name,name,,,no,yes,name should never update resident dataset from weekly forms
Case Management Sheet,Date,date,,Last updated,no,yes,last updated should be system managed from submission timestamp not copied from form field
Case Management Sheet,Level,level,,DWC Level Today or Exit,no,yes,weekly form may store level_at_submission operationally but should not update master dataset field
Case Management Sheet,Are you employed,employed,,,no,yes,employment status belongs in case_manager_updates not the dataset mapping file
Case Management Sheet,Do you have a sponsor,has_sponsor,,,no,yes,sponsor truth belongs in recovery_profiles not dataset
Case Management Sheet,Case manager,case_manager,,,no,yes,operational field not in approved dataset
Case Management Sheet,Did you meet one on one this week,met_one_on_one,,,no,yes,operational field not in approved dataset
Case Management Sheet,Do you take the bus,takes_bus,,,no,yes,operational field not in approved dataset
Case Management Sheet,Do you need bus tickets,needs_bus_tickets,,,no,yes,operational field not in approved dataset
Case Management Sheet,RHN Physical,rhn_physical,,,no,yes,not in approved dataset
Case Management Sheet,Pap Smear,pap_smear,,,no,yes,not in approved dataset
Case Management Sheet,Glasses,glasses,,Need Vision on Entry,no,yes,weekly glasses need is not the same as intake vision need
Case Management Sheet,Mental Health Evaluation,mental_health_eval,,MH Exam,no,yes,approved dataset field but should not auto update until destination table and verification rule are finalized
Case Management Sheet,Birth Certificate,birth_certificate,,,no,yes,not in approved dataset
Case Management Sheet,Social Security Card,social_security_card,,,no,yes,not in approved dataset
Case Management Sheet,ID or Driver License,id_or_driver_license,,,no,yes,not in approved dataset
Case Management Sheet,Court,court,,,no,yes,not in approved dataset
Case Management Sheet,Food Stamps,food_stamps,,,no,yes,not in approved dataset
Case Management Sheet,Medications,medications,,Med Exam,no,yes,approved dataset field but should not auto update until destination table and verification rule are finalized
Case Management Sheet,Other written needs,other_needs_text,,,no,yes,always keep in PDF

Meeting Sheet,Name,name,,,no,yes,identity fields should never update from weekly forms
Meeting Sheet,Date,date,,Last updated,no,yes,last updated should be system managed from submission timestamp not copied from form field
Meeting Sheet,Level,level,,DWC Level Today or Exit,no,yes,weekly form may store level_at_submission operationally but should not update master dataset field
Meeting Sheet,Sponsor name,sponsor_name,,,no,yes,recovery_profiles holds sponsor truth
Meeting Sheet,Sponsor phone,sponsor_phone,,,no,yes,recovery_profiles holds sponsor truth
Meeting Sheet,Recovery program,recovery_program,,,no,yes,recovery_profiles holds recovery program truth
Meeting Sheet,Current step,current_step,,,no,yes,recovery_profiles holds current step truth
Meeting Sheet,Total number of meetings,total_meetings,,,no,yes,operational weekly metric not in approved dataset
Meeting Sheet,Needs text,needs_text,,,no,yes,always keep in PDF

Productive Sheet,Name,name,,,no,yes,name should never update resident dataset from weekly forms
Productive Sheet,Date,date,,Last updated,no,yes,last updated should be system managed from submission timestamp not copied from form field
Productive Sheet,Level,level,,DWC Level Today or Exit,no,yes,weekly form may store level_at_submission operationally but should not update master dataset field
Productive Sheet,Employment snapshot,employment_snapshot,,,no,yes,operational snapshot only not approved dataset mapping
Productive Sheet,Total work hours,total_work_hours,,,no,yes,operational weekly metric not in approved dataset
Productive Sheet,Total productive hours,total_productive_hours,,,no,yes,operational weekly metric not in approved dataset
Productive Sheet,Total meetings,total_meetings,,,no,yes,operational weekly metric not in approved dataset

Itinerary Sheet,Name,name,,,no,yes,name should never update resident dataset from weekly forms
Itinerary Sheet,Date,date,,Last updated,no,yes,last updated should be system managed from submission timestamp not copied from form field
Itinerary Sheet,Level,level,,DWC Level Today or Exit,no,yes,weekly form may store level_at_submission operationally but should not update master dataset field
Itinerary Sheet,Employment snapshot,employment_snapshot,,,no,yes,planning snapshot only not approved dataset mapping
Itinerary Sheet,Total work hours,total_work_hours,,,no,yes,planning metric only not approved dataset mapping
Itinerary Sheet,Total productive hours,total_productive_hours,,,no,yes,planning metric only not approved dataset mapping
Itinerary Sheet,Total meetings,total_meetings,,,no,yes,planning metric only not approved dataset mapping

Pass Request,Resident name,resident_name,,,no,yes,identity fields should not update resident dataset from pass forms
Pass Request,Date,date,,Last updated,no,yes,last updated should be system managed from submission timestamp not copied from form field
Pass Request,Level,level,,DWC Level Today or Exit,no,yes,if present store only in PDF unless you later create a verified operational level update flow
Pass Request,Date leaving,date_leaving,,,no,yes,PDF only
Pass Request,Date returning,date_returning,,,no,yes,PDF only
Pass Request,Estimated cost of trip,trip_cost,,,no,yes,PDF only
Pass Request,Children with you,children_with_you,,,no,yes,PDF only
Pass Request,Where will children be,children_location,,,no,yes,PDF only
Pass Request,Address staying,address_staying,,,no,yes,PDF only
Pass Request,Phone number,phone_number,,Phone #,no,yes,do not overwrite resident contact data from a pass form without staff verification
